City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Butaritari,KI,82.38,Clouds : few clouds,3.0707,172.7902,Isles Sunset Lodge
9,Hermanus,ZA,85.89,Clouds : broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
13,Cayenne,GF,86.04,Clouds : broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
14,Vaini,TO,75.36,Rain : light rain,-21.2,-175.2,Keleti Beach Resort
15,Carnarvon,AU,80.67,Clouds : few clouds,-24.8667,113.6333,Hospitality Carnarvon
23,Puerto Ayora,EC,85.96,Clouds : broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Pochutla,MX,85.82,Clear : clear sky,15.7432,-96.4661,Hotel Posada San Jose
27,Chuy,UY,83.12,Clouds : broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
28,Atuona,PF,78.69,Clouds : few clouds,-9.8,-139.0333,Villa Enata
38,Rikitea,PF,78.62,Clouds : broken clouds,-23.1203,-134.9692,People ThankYou
44,Cape Town,ZA,86.11,Clear : clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
45,Saint-Philippe,RE,83.79,Rain : light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
47,Kahului,US,75.85,Clouds : few clouds,20.8947,-156.47,Maui Seaside Hotel
57,Hualmay,PE,75.15,Clouds : scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
59,Kununurra,AU,78.78,Clouds : overcast clouds,-15.7667,128.7333,Hotel Kununurra
67,Faanui,PF,80.78,Clouds : few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
73,Luziania,BR,82.09,Rain : light rain,-16.2525,-47.9503,HOTEL SARON
77,Huarmey,PE,76.24,Clouds : few clouds,-10.0681,-78.1522,Hotel Miramar
80,Itu,BR,83.32,Clouds : overcast clouds,-23.2642,-47.2992,Hotel KK
83,Arraial Do Cabo,BR,89.56,Thunderstorm : thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
94,Grand Gaube,MU,80.38,Clouds : overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
96,Amaraji,BR,84.85,Clouds : broken clouds,-8.3831,-35.4525,Monsieur
101,Cidreira,BR,86.92,Rain : moderate rain,-30.1811,-50.2056,Hotel Castelo
105,Caucaia,BR,85.95,Clouds : scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
107,Noumea,NC,76.98,Rain : moderate rain,-22.2763,166.4572,Hôtel Le Lagon
108,Avarua,CK,78.85,Clouds : scattered clouds,-21.2078,-159.775,Paradise Inn
115,Vao,NC,79.7,Clouds : overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
116,Port Blair,IN,80.64,Mist : mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
119,Mahebourg,MU,80.26,Rain : light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
120,Moratuwa,LK,77.02,Clear : clear sky,6.773,79.8816,Sa Mansion By Yoho
132,Sao Felix Do Xingu,BR,85.55,Clouds : overcast clouds,-6.6447,-51.995,Rio Xingu Camping
135,Hithadhoo,MV,82.6,Clouds : overcast clouds,-0.6,73.0833,Scoop Guest House
