City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saskylakh,RU,71.9167,114.0833,-29.67,100,85,4.41,Clouds : overcast clouds
1,Upernavik,GL,72.7868,-56.1549,0.43,98,100,4.56,Clouds : overcast clouds
2,Butaritari,KI,3.0707,172.7902,82.38,69,14,18.14,Clouds : few clouds
3,Iskateley,RU,67.6803,53.1512,-7.87,98,86,9.55,Clouds : overcast clouds
4,Wattegama,LK,6.7989,81.4808,69.58,91,6,5.35,Clear : clear sky
5,Lompoc,US,34.6391,-120.4579,66.13,49,0,6.91,Clear : clear sky
6,Ushuaia,AR,-54.8,-68.3,64.02,39,40,12.66,Clouds : scattered clouds
7,Jamestown,US,42.097,-79.2353,19.53,48,75,5.99,Clouds : broken clouds
8,Muscat,OM,23.6139,58.5922,73.42,55,15,3.65,Clouds : few clouds
9,Hermanus,ZA,-34.4187,19.2345,85.89,64,62,20.15,Clouds : broken clouds
10,Albany,US,42.6001,-73.9662,19.85,67,27,5.01,Clouds : scattered clouds
11,Komsomolskiy,UZ,40.4272,71.7189,44.02,44,59,4.61,Clouds : broken clouds
12,Gat,IL,31.61,34.7642,54.28,100,80,8.08,Clouds : broken clouds
13,Cayenne,GF,4.9333,-52.3333,86.04,81,75,5.99,Clouds : broken clouds
14,Vaini,TO,-21.2,-175.2,75.36,100,100,13.8,Rain : light rain
15,Carnarvon,AU,-24.8667,113.6333,80.67,83,24,5.75,Clouds : few clouds
16,Shirokiy,RU,49.758,129.523,-19.21,100,40,4.47,Clouds : scattered clouds
17,Qaanaaq,GL,77.484,-69.3632,0.0,74,89,4.36,Clouds : overcast clouds
18,Almaznyy,RU,48.0448,40.045,24.94,90,98,7.7,Clouds : overcast clouds
19,Coos Bay,US,43.3665,-124.2179,48.18,97,40,9.22,Clouds : scattered clouds
20,Pahrump,US,36.2083,-115.9839,51.12,31,0,2.42,Clear : clear sky
21,Geraldton,AU,-28.7667,114.6,72.01,88,75,8.05,Clouds : broken clouds
22,New Norfolk,AU,-42.7826,147.0587,58.66,62,100,0.83,Clouds : overcast clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,85.96,88,54,4.0,Clouds : broken clouds
24,Portland,US,45.5234,-122.6762,46.56,94,75,1.01,Clouds : broken clouds
25,Pochutla,MX,15.7432,-96.4661,85.82,34,0,6.76,Clear : clear sky
26,Ginir,ET,7.1333,40.7,63.68,16,56,2.37,Clouds : broken clouds
27,Chuy,UY,-33.6971,-53.4616,83.12,50,83,8.52,Clouds : broken clouds
28,Atuona,PF,-9.8,-139.0333,78.69,74,13,21.97,Clouds : few clouds
29,Oktyabrskoye,RU,43.0645,44.7417,28.35,74,75,2.24,Clouds : broken clouds
30,Iqaluit,CA,63.7506,-68.5145,-24.07,62,75,0.0,Clouds : broken clouds
31,Mataura,NZ,-46.1927,168.8643,40.12,98,15,2.1,Clouds : few clouds
32,Port Elizabeth,ZA,-33.918,25.5701,70.11,83,75,12.66,Clouds : broken clouds
33,Hobart,AU,-42.8794,147.3294,59.02,76,100,4.61,Clouds : overcast clouds
34,Bredasdorp,ZA,-34.5322,20.0403,73.27,68,42,24.16,Clouds : scattered clouds
35,Punta Arenas,CL,-53.15,-70.9167,62.71,59,75,34.52,Clouds : broken clouds
36,Sitka,US,57.0531,-135.33,42.69,81,100,12.66,Rain : moderate rain
37,Thompson,CA,55.7435,-97.8558,-25.44,68,75,0.0,Clouds : broken clouds
38,Rikitea,PF,-23.1203,-134.9692,78.62,73,53,12.82,Clouds : broken clouds
